Date : 2021-05-11 09:51:46
Directory : c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src
Total : 614 files,  50408 codes, 1225 comments, 4911 blanks, all 56544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| DeclineCurveAnalysis                                                                                                                                                                                       |          4 |        104 |          1 |         17 |        122 |
| DeclineCurveAnalysis\Routes                                                                                                                                                                                |          3 |         99 |          1 |         14 |        114 |
| DeclineCurveAnalysis\Routes\Common                                                                                                                                                                         |          3 |         99 |          1 |         14 |        114 |
| Economics                                                                                                                                                                                                  |         94 |     11,458 |        254 |      1,033 |     12,745 |
| Economics\Components                                                                                                                                                                                       |         28 |      2,545 |          5 |        212 |      2,762 |
| Economics\Components\DialogParameters                                                                                                                                                                      |          6 |        217 |          0 |         22 |        239 |
| Economics\Components\Dialogs                                                                                                                                                                               |          7 |        965 |          0 |         63 |      1,028 |
| Economics\Components\Forms                                                                                                                                                                                 |          6 |        405 |          0 |         43 |        448 |
| Economics\Components\Menus                                                                                                                                                                                 |          1 |        118 |          0 |         11 |        129 |
| Economics\Components\Panels                                                                                                                                                                                |          2 |        231 |          0 |         19 |        250 |
| Economics\Components\Parameters                                                                                                                                                                            |          3 |        322 |          4 |         30 |        356 |
| Economics\Components\TitlePlaques                                                                                                                                                                          |          1 |         37 |          0 |          5 |         42 |
| Economics\Data                                                                                                                                                                                             |          2 |        238 |          0 |         16 |        254 |
| Economics\Images                                                                                                                                                                                           |          8 |        146 |          4 |          5 |        155 |
| Economics\Redux                                                                                                                                                                                            |         11 |      1,701 |         16 |        229 |      1,946 |
| Economics\Redux\Actions                                                                                                                                                                                    |          1 |        357 |          0 |         44 |        401 |
| Economics\Redux\Reducers                                                                                                                                                                                   |          1 |        218 |          0 |         32 |        250 |
| Economics\Redux\Sagas                                                                                                                                                                                      |          7 |        807 |         14 |         98 |        919 |
| Economics\Redux\State                                                                                                                                                                                      |          2 |        319 |          2 |         55 |        376 |
| Economics\Routes                                                                                                                                                                                           |         42 |      6,613 |        228 |        552 |      7,393 |
| Economics\Routes\Common                                                                                                                                                                                    |          2 |        187 |          0 |         14 |        201 |
| Economics\Routes\EconomicsAnalyses                                                                                                                                                                         |         10 |      1,579 |         23 |        137 |      1,739 |
| Economics\Routes\EconomicsAnalyses\EconomicsParametersSensitivities                                                                                                                                        |          5 |        680 |         18 |         58 |        756 |
| Economics\Routes\EconomicsInput                                                                                                                                                                            |          9 |      1,673 |         11 |        114 |      1,798 |
| Economics\Routes\EconomicsInput\EconomicsCostsAndRevenues                                                                                                                                                  |          4 |      1,046 |          7 |         58 |      1,111 |
| Economics\Routes\EconomicsInput\EconomicsParameters                                                                                                                                                        |          5 |        627 |          4 |         56 |        687 |
| Economics\Routes\EconomicsResults                                                                                                                                                                          |         18 |      2,847 |        133 |        255 |      3,235 |
| Economics\Routes\EconomicsResults\EconomicsPlotCharts                                                                                                                                                      |          5 |        808 |         37 |         75 |        920 |
| Economics\Routes\EconomicsResults\EconomicsSensitivitiesHeatMap                                                                                                                                            |          5 |        886 |         44 |         71 |      1,001 |
| Economics\Routes\EconomicsResults\EconomicsTemplateResults                                                                                                                                                 |          5 |        896 |         38 |         81 |      1,015 |
| Economics\Routes\EconomicsSensitivities                                                                                                                                                                    |          2 |        136 |         59 |         18 |        213 |
| Economics\Routes\EconomicsWorkflows                                                                                                                                                                        |          1 |        191 |          2 |         14 |        207 |
| Economics\Utils                                                                                                                                                                                            |          1 |         10 |          0 |          1 |         11 |
| Economics\Workflows                                                                                                                                                                                        |          1 |        200 |          1 |         15 |        216 |
| Forecast                                                                                                                                                                                                   |         41 |      3,662 |        104 |        418 |      4,184 |
| Forecast\Common                                                                                                                                                                                            |          8 |        507 |          9 |         58 |        574 |
| Forecast\Components                                                                                                                                                                                        |         11 |        775 |         38 |         87 |        900 |
| Forecast\Components\BaseActions                                                                                                                                                                            |          1 |         74 |          0 |          7 |         81 |
| Forecast\Components\DialogActions                                                                                                                                                                          |          1 |         28 |          0 |          3 |         31 |
| Forecast\Components\DialogButtons                                                                                                                                                                          |          2 |        135 |          0 |         11 |        146 |
| Forecast\Components\DialogParameters                                                                                                                                                                       |          2 |         60 |          0 |          8 |         68 |
| Forecast\Components\Menus                                                                                                                                                                                  |          1 |        103 |          0 |          9 |        112 |
| Forecast\Components\TitlePlaques                                                                                                                                                                           |          1 |         37 |          0 |          5 |         42 |
| Forecast\Images                                                                                                                                                                                            |          3 |        126 |          3 |          3 |        132 |
| Forecast\Redux                                                                                                                                                                                             |          9 |      1,203 |         15 |        159 |      1,377 |
| Forecast\Redux\Actions                                                                                                                                                                                     |          1 |        251 |          0 |         26 |        277 |
| Forecast\Redux\ForecastState                                                                                                                                                                               |          2 |        170 |          1 |         25 |        196 |
| Forecast\Redux\Reducers                                                                                                                                                                                    |          1 |        211 |          5 |         40 |        256 |
| Forecast\Redux\Sagas                                                                                                                                                                                       |          5 |        571 |          9 |         68 |        648 |
| Forecast\Routes                                                                                                                                                                                            |          4 |        870 |         39 |         57 |        966 |
| Forecast\Utils                                                                                                                                                                                             |          6 |        181 |          0 |         54 |        235 |
| Import                                                                                                                                                                                                     |         76 |      7,430 |        162 |        807 |      8,399 |
| Import\Components                                                                                                                                                                                          |         12 |      1,100 |          8 |         90 |      1,198 |
| Import\Components\DialogParameters                                                                                                                                                                         |          3 |        112 |          0 |          8 |        120 |
| Import\Components\Dialogs                                                                                                                                                                                  |          4 |        587 |          7 |         44 |        638 |
| Import\Components\Forms                                                                                                                                                                                    |          4 |        274 |          0 |         29 |        303 |
| Import\Images                                                                                                                                                                                              |          7 |        265 |          4 |          6 |        275 |
| Import\Redux                                                                                                                                                                                               |         12 |      1,300 |          9 |        142 |      1,451 |
| Import\Redux\Actions                                                                                                                                                                                       |          3 |        395 |          1 |         32 |        428 |
| Import\Redux\Reducers                                                                                                                                                                                      |          2 |        203 |          0 |         16 |        219 |
| Import\Redux\Sagas                                                                                                                                                                                         |          4 |        461 |          5 |         49 |        515 |
| Import\Redux\State                                                                                                                                                                                         |          3 |        241 |          3 |         45 |        289 |
| Import\Routes                                                                                                                                                                                              |         28 |      4,255 |        133 |        457 |      4,845 |
| Import\Routes\Common                                                                                                                                                                                       |         16 |      3,196 |        100 |        354 |      3,650 |
| Import\Routes\Common\InputWorkflows                                                                                                                                                                        |          4 |        537 |         11 |         47 |        595 |
| Import\Routes\Common\Workflows                                                                                                                                                                             |          9 |      2,476 |         89 |        290 |      2,855 |
| Import\Routes\FacilitiesInputDeck                                                                                                                                                                          |          3 |        305 |          4 |         28 |        337 |
| Import\Routes\ForecastInputDeck                                                                                                                                                                            |          5 |        472 |         16 |         46 |        534 |
| Import\Routes\ProductionData                                                                                                                                                                               |          3 |        271 |         13 |         27 |        311 |
| Import\Services                                                                                                                                                                                            |          2 |         23 |          0 |          8 |         31 |
| Import\Utils                                                                                                                                                                                               |         15 |        487 |          8 |        104 |        599 |
| Network                                                                                                                                                                                                    |        102 |      8,456 |         73 |        859 |      9,388 |
| Network\Common                                                                                                                                                                                             |          5 |        483 |         10 |         51 |        544 |
| Network\Components                                                                                                                                                                                         |         62 |      4,658 |         15 |        445 |      5,118 |
| Network\Components\ContextDrawer                                                                                                                                                                           |          6 |        299 |          0 |         41 |        340 |
| Network\Components\ContextMenu                                                                                                                                                                             |         10 |        831 |          2 |        104 |        937 |
| Network\Components\DialogBottons                                                                                                                                                                           |          1 |         76 |          0 |          7 |         83 |
| Network\Components\DialogExtrusion                                                                                                                                                                         |          3 |        190 |          0 |         20 |        210 |
| Network\Components\DialogParameters                                                                                                                                                                        |         10 |        244 |          2 |         26 |        272 |
| Network\Components\Dialogs                                                                                                                                                                                 |         10 |      1,342 |          5 |         88 |      1,435 |
| Network\Components\Forms                                                                                                                                                                                   |          5 |        342 |          0 |         33 |        375 |
| Network\Components\Icons                                                                                                                                                                                   |          2 |         75 |          0 |          6 |         81 |
| Network\Components\Indicators                                                                                                                                                                              |          1 |         48 |          0 |          9 |         57 |
| Network\Components\Menus                                                                                                                                                                                   |          3 |        401 |          1 |         41 |        443 |
| Network\Components\Nodes                                                                                                                                                                                   |          1 |        143 |          5 |         10 |        158 |
| Network\Components\Popovers                                                                                                                                                                                |          2 |        165 |          0 |         14 |        179 |
| Network\Components\TitlePlaques                                                                                                                                                                            |          1 |         35 |          0 |          6 |         41 |
| Network\Components\Widgets                                                                                                                                                                                 |          7 |        467 |          0 |         40 |        507 |
| Network\Images                                                                                                                                                                                             |          7 |         49 |          0 |          6 |         55 |
| Network\Redux                                                                                                                                                                                              |         14 |      1,873 |          6 |        225 |      2,104 |
| Network\Redux\Actions                                                                                                                                                                                      |          1 |        395 |          0 |         44 |        439 |
